,西瓜胡萝卜沙拉,麻辣小龙虾,农夫山泉NFC果汁100%橙汁,番茄炖牛腩,凉拌菠菜,芝士烩波士顿龙虾,姜葱炒花蟹,水煮鱼,百里香奶油烤紅酒牛肉,香菇鹌鹑蛋,拌土豆丝,焖猪手,53度茅台,路易拉菲红酒干红,意文柠檬汁 ,蛋挞,黄油曲奇饼干,香菇鸡肉粥,哈尔滨啤酒罐装,清蒸海鱼,辣炒鱿鱼,爆炒猪肝,啤酒鸭,干锅田鸡,番茄蛋汤,黄花菜炒木耳,凉拌萝卜丝,38度剑南春 ,蓝带啤酒罐装,老式面包,一品香酥藕,牛奶卷,葡萄奶酥(超酥香的饼干),葱姜炒蟹,百威啤酒罐装,大理石奶油蛋糕,党参黄芪炖牛尾,三色凉拌手撕兔,白斩鸡,爆炒鸡翅,清炒菊花菜,培根花菜, 北冰洋汽水 ,核桃葡萄干土司,倒立蒸梭子蟹,番茄甘蓝,红酒炖羊肉,桂圆枸杞鸽子汤,黄尾袋鼠西拉子红葡萄酒,黑米恋上葡萄,皮蛋瘦肉粥,油焖麻辣虾,蒜香辣花甲,蒜蓉生蚝,番茄有机花菜,谷稻小庄 ,冰糖红豆薏米粥,海带结豆腐汤,爆炒双丝,香烤牛排,小米南瓜粥,咖啡奶香面包,葱油凉拌藕片,桂圆肉红豆八宝饭,五色糯米饭(七色),剁椒鱼头,辣炒田螺,不加一滴油的酸奶蛋糕,木须豌豆,酸辣汤面,照烧鸡腿,青炒扁豆,重庆特色油烧兔,培根紫菜卷,红酒土豆烧鸭腿,三丝鳝鱼,白胡椒胡萝卜羊肉汤,孜然羊排,青岛啤酒罐装,辣炒海带丝,爆炒鳝碌,金玉良缘,酸辣藕丁,香酥两吃大虾,避风塘炒蟹,凉拌蒜蓉西兰花,南瓜枸杞小饼干, 42度海之蓝,清爽拌凉面,超人气广式肠粉,蒙古烤羊腿,肉丁茄子,山药养生粥,广式虾仁肠粉,杭椒鸡珍,凉拌海带豆芽紫菜,泡椒凤爪,张裕葡萄酒张裕赤霞珠干红,玉竹南北杏鸭腿汤,糖醋蕃茄溜青花,芹菜炒腰花,花蛤蒸蛋,鲜美鳝鱼,芝麻烤紫菜,辣炒花蛤,豌豆薯仔猪骨汤,清蒸蝶鱼,小炒羊腰,鸡蛋、肉末肠粉,打卤面,番茄炖秋葵,大蒜苋菜,紫薯面包卷,纸杯蛋糕,香辣腐乳炒虾,露露无糖杏仁露,独家薄荷鲜虾牛肉卷,美妙绝伦之白莲花,52度泸州老窖 ,50度古井贡酒,五香酱驴肉,蒜香包,炝炒大白菜,盘蟹蒸蛋,五彩藕苗,芹黄鳝丝,宝宝版牛肉肠粉,牛尾汤,冰镇花螺,冬瓜炒苦瓜,特醇嘉士伯啤酒罐装,香辣爆羊肝,自制猪肉脯,土豆西红柿汤面,牛肉鸡蛋肠粉,铁板牛肉,百里香奶油烤红酒牛肉,鱼香肉丝拌面,南瓜芝士包,法国波尔多AOC干红葡萄酒原,五彩豆,长城窖酿解百纳红酒干红葡萄酒,快炒黄鳝
西瓜胡萝卜沙拉,0.0,0.2105,0.1739,0.2519,0.2512,0.2291,0.1489,0.2335,0.0111,0.3058,0.1875,0.1892,0.1287,0.1619,0.1972,0.3016,0.1263,0.1273,0.09,0.2466,0.2123,0.1589,0.1452,0.124,0.1193,0.1261,0.2222,0.1263,0.0693,0.15,0.1284,0.0745,0.1415,0.1416,0.0729,0.0909,0.1782,0.0396,0.1261,0.1983,0.1066,0.1453,0.1818,0.1089,0.1181,0.2589,0.136,0.1491,0.1368,0.1391,0.1496,0.1702,0.1857,0.1455,0.1259,0.268,0.2045,0.0909,0.2276,0.2707,0.2033,0.0632,0.2105,0.2258,0.3054,0.1847,0.1339,0.1275,0.1271,0.0686,0.2281,0.0935,0.0693,0.157,0.1193,0.0106,0.223,0.2482,0.0891,0.1456,0.1053,0.2195,0.1694,0.2765,0.1607,0.2083,0.1842,0.0745,0.1789,0.1,0.2532,0.1217,0.1765,0.0515,0.17,0.051,0.0748,0.1296,0.0714,0.2126,0.1699,0.0935,0.06,0.2075,0.1515,0.1931,0.1628,0.0673,0.044,0.156,0.1545,0.1343,0.1607,0.1717,0.1691,0.1364,0.1692,0.1975,0.0495,0.04,0.1727,0.1376,0.1575,0.1835,0.19,0.0412,0.0638,0.1682,0.0729,0.0833,0.0312,0.2435,0.1988,0.1222,0.1263,0.023,0.0952,0.1193,0.0833,0.1262,0.0777,0.0526,0.0729
麻辣小龙虾,0.2105,0.0,0.1627,0.2333,0.382,0.293,0.25,0.3069,0.0068,0.2135,0.1932,0.2694,0.1026,0.125,0.2063,0.2402,0.0714,0.103,0.1438,0.2245,0.3547,0.2073,0.1696,0.1412,0.1321,0.1429,0.1446,0.051,0.1067,0.0949,0.1173,0.06,0.1329,0.1543,0.0733,0.1338,0.1494,0.0795,0.1294,0.1588,0.1557,0.1636,0.1824,0.1039,0.1494,0.2061,0.1905,0.1524,0.1369,0.1455,0.1657,0.1799,0.2174,0.1084,0.1732,0.3217,0.1923,0.0921,0.1808,0.2898,0.1638,0.053,0.2025,0.1864,0.3333,0.2386,0.135,0.0679,0.1302,0.057,0.1786,0.1006,0.0506,0.2073,0.1538,0.0338,0.2128,0.2581,0.0909,0.1139,0.0867,0.1685,0.16,0.2911,0.119,0.2473,0.1627,0.053,0.1667,0.1053,0.3141,0.1333,0.1579,0.0526,0.1589,0.0455,0.1019,0.1613,0.0724,0.2326,0.2092,0.0671,0.038,0.1481,0.1169,0.2419,0.1492,0.0629,0.0408,0.1572,0.135,0.1732,0.1605,0.0943,0.2056,0.1159,0.1864,0.2551,0.0719,0.0519,0.1131,0.1667,0.2473,0.1402,0.1274,0.053,0.0464,0.1159,0.0387,0.0872,0.0329,0.1824,0.2723,0.089,0.0784,0.0138,0.1329,0.1321,0.0938,0.1013,0.0903,0.0464,0.0592
农夫山泉NFC果汁100%橙汁,0.1739,0.1627,0.0,0.1759,0.1823,0.1366,0.1062,0.1655,0.0,0.1524,0.0952,0.1438,0.1493,0.0897,0.177,0.1759,0.0448,0.0741,0.0746,0.1694,0.1765,0.104,0.1053,0.0879,0.0759,0.1149,0.1047,0.0938,0.0441,0.0685,0.1316,0.1034,0.1507,0.1084,0.082,0.1067,0.0933,0.0462,0.0899,0.1461,0.1667,0.1279,0.191,0.1029,0.117,0.1183,0.1413,0.0682,0.1034,0.119,0.172,0.1636,0.1416,0.141,0.1616,0.1484,0.2577,0.1094,0.1633,0.1379,0.1684,0.0667,0.1609,0.1275,0.1603,0.2114,0.0714,0.0833,0.1034,0.0746,0.1444,0.0959,0.0923,0.0957,0.1039,0.0357,0.1368,0.1583,0.1406,0.125,0.0625,0.13,0.102,0.1538,0.1341,0.161,0.1136,0.0667,0.102,0.0735,0.1908,0.1795,0.1444,0.0833,0.0667,0.0312,0.0263,0.0897,0.0462,0.1038,0.136,0.0959,0.0952,0.0964,0.2222,0.1624,0.1895,0.0571,0.0943,0.0988,0.1688,0.15,0.1481,0.1286,0.0991,0.1282,0.1735,0.1705,0.0615,0.0635,0.0698,0.1757,0.1892,0.1948,0.1884,0.0492,0.0678,0.0476,0.0645,0.0308,0.0333,0.1158,0.1739,0.0492,0.1111,0.0196,0.0978,0.1333,0.1111,0.0972,0.1045,0.0328,0.0476
番茄炖牛腩,0.2519,0.2333,0.1759,0.0,0.2367,0.2619,0.2031,0.2222,0.0122,0.1905,0.2414,0.2114,0.1398,0.1176,0.2273,0.2,0.1,0.1154,0.086,0.2168,0.2667,0.2014,0.1261,0.1743,0.1176,0.1455,0.1273,0.1124,0.1236,0.1505,0.0952,0.1205,0.13,0.1863,0.0326,0.1313,0.1562,0.0543,0.1887,0.2018,0.1759,0.1667,0.125,0.0947,0.2182,0.177,0.1356,0.1389,0.1261,0.1284,0.1695,0.1805,0.2344,0.1569,0.1901,0.2332,0.1615,0.087,0.2328,0.2481,0.2174,0.0568,0.2264,0.2,0.2963,0.1867,0.1226,0.1031,0.2255,0.0521,0.211,0.1237,0.0753,0.1579,0.1753,0.0235,0.1739,0.2444,0.1087,0.1,0.1149,0.2566,0.1709,0.2011,0.1091,0.2206,0.2095,0.0941,0.2342,0.0851,0.2252,0.1204,0.1579,0.0444,0.1354,0.0556,0.0808,0.1515,0.0899,0.2373,0.1793,0.1474,0.0889,0.1215,0.1158,0.1702,0.2137,0.051,0.0482,0.2421,0.1442,0.1707,0.1509,0.125,0.189,0.1038,0.1803,0.1613,0.0889,0.1034,0.1524,0.2083,0.1667,0.1748,0.1562,0.022,0.0698,0.1818,0.0674,0.1034,0.0225,0.1538,0.2484,0.0814,0.125,0.0125,0.1304,0.14,0.1122,0.0909,0.1196,0.0824,0.0326
凉拌菠菜,0.2512,0.382,0.1823,0.2367,0.0,0.3506,0.233,0.3484,0.011,0.2315,0.1961,0.3867,0.1075,0.1323,0.2018,0.2673,0.0699,0.1192,0.1105,0.2685,0.4174,0.335,0.1471,0.1574,0.1031,0.13,0.1429,0.0529,0.1111,0.1189,0.114,0.0663,0.139,0.1392,0.0484,0.1217,0.1047,0.0535,0.1472,0.2158,0.1465,0.171,0.1692,0.0968,0.1415,0.165,0.2062,0.1436,0.1364,0.1436,0.1553,0.2066,0.2286,0.1237,0.1509,0.3909,0.1896,0.0695,0.1739,0.2429,0.206,0.0663,0.1386,0.202,0.3717,0.3238,0.1117,0.0895,0.148,0.0691,0.1542,0.1058,0.0695,0.1485,0.1088,0.0331,0.297,0.2947,0.0919,0.1111,0.0884,0.1863,0.2092,0.3733,0.1212,0.285,0.1465,0.0663,0.1791,0.086,0.3702,0.1451,0.1777,0.0486,0.0942,0.0541,0.0895,0.1444,0.0479,0.2118,0.322,0.1,0.0532,0.134,0.1016,0.2927,0.1748,0.0973,0.0275,0.1474,0.1347,0.1961,0.1156,0.0947,0.1952,0.1244,0.1961,0.2785,0.0476,0.0595,0.1451,0.1192,0.267,0.1451,0.1105,0.0432,0.0435,0.1244,0.0428,0.0652,0.0437,0.1869,0.3598,0.0782,0.0874,0.0169,0.133,0.1146,0.1176,0.0947,0.0741,0.0492,0.0372
芝士烩波士顿龙虾,0.2291,0.293,0.1366,0.2619,0.3506,0.0,0.2,0.2574,0.0296,0.1908,0.1976,0.3814,0.1329,0.1565,0.2111,0.2184,0.0616,0.1316,0.0753,0.3068,0.2864,0.3195,0.1515,0.1646,0.1184,0.1742,0.1321,0.1071,0.1064,0.1014,0.0892,0.0719,0.1267,0.1879,0.0414,0.1275,0.0987,0.0552,0.1667,0.2222,0.1656,0.1667,0.1506,0.1034,0.25,0.2115,0.2025,0.1258,0.1456,0.1188,0.1829,0.2034,0.1694,0.1299,0.1834,0.3425,0.1965,0.0759,0.1916,0.2123,0.1807,0.0493,0.1847,0.2821,0.3854,0.2124,0.129,0.1319,0.1529,0.0903,0.175,0.1149,0.0909,0.1534,0.1111,0.0214,0.1978,0.2727,0.0897,0.1293,0.0851,0.1928,0.1557,0.2802,0.1484,0.2686,0.1806,0.0493,0.1988,0.0972,0.2684,0.1494,0.1899,0.0563,0.1301,0.0559,0.1164,0.1258,0.0552,0.2317,0.2753,0.1224,0.0769,0.1429,0.1096,0.2278,0.1716,0.0671,0.0438,0.1757,0.1218,0.1765,0.1558,0.1156,0.1829,0.1307,0.1976,0.3111,0.0922,0.0857,0.1419,0.1391,0.2765,0.1879,0.0987,0.0493,0.0496,0.1611,0.0559,0.078,0.0426,0.1646,0.2932,0.0643,0.1151,0.0148,0.1847,0.1111,0.1,0.131,0.0816,0.0571,0.0634
姜葱炒花蟹,0.1489,0.25,0.1062,0.2031,0.233,0.2,0.0,0.2174,0.0125,0.1746,0.1639,0.2,0.1183,0.12,0.194,0.2623,0.0778,0.1068,0.1,0.1944,0.2105,0.2222,0.1379,0.1351,0.098,0.1589,0.1296,0.0899,0.1264,0.0938,0.1414,0.0581,0.11,0.1121,0.0333,0.0891,0.1237,0.0674,0.2039,0.1416,0.1792,0.1481,0.1271,0.0968,0.1379,0.2018,0.1681,0.1635,0.1495,0.1308,0.1724,0.2302,0.1556,0.0841,0.1545,0.2487,0.1288,0.0652,0.1557,0.2045,0.1311,0.0833,0.2075,0.1452,0.2093,0.1892,0.125,0.1413,0.1714,0.0879,0.1712,0.1031,0.0538,0.1304,0.1429,0.0625,0.2121,0.1942,0.0638,0.0909,0.0326,0.157,0.1538,0.1829,0.1111,0.1971,0.1905,0.0341,0.1638,0.0753,0.2621,0.1553,0.1304,0.0575,0.0918,0.0449,0.0825,0.12,0.0556,0.1613,0.2426,0.0918,0.0549,0.1132,0.0722,0.1985,0.12,0.0745,0.0119,0.1154,0.1359,0.1545,0.1321,0.0928,0.1462,0.0952,0.1833,0.1634,0.0323,0.0562,0.1442,0.1875,0.1866,0.0917,0.09,0.0581,0.0714,0.1058,0.022,0.0682,0.0595,0.2091,0.26,0.046,0.0778,0.0395,0.113,0.1089,0.1383,0.1158,0.0632,0.0714,0.0449
水煮鱼,0.2335,0.3069,0.1655,0.2222,0.3484,0.2574,0.2174,0.0,0.0163,0.2308,0.1847,0.2764,0.1385,0.1387,0.2671,0.1928,0.093,0.1449,0.0833,0.2135,0.3641,0.1943,0.1656,0.1184,0.1064,0.1667,0.1857,0.0602,0.0923,0.1037,0.1805,0.063,0.1397,0.1727,0.0538,0.1324,0.1007,0.0775,0.1915,0.1611,0.1575,0.1429,0.1419,0.0896,0.1656,0.1905,0.2055,0.1,0.1361,0.1301,0.2081,0.236,0.1834,0.1034,0.2157,0.3023,0.2372,0.0923,0.1935,0.2303,0.1667,0.0305,0.1944,0.2078,0.3125,0.2717,0.1418,0.0956,0.1761,0.0833,0.1757,0.1022,0.0597,0.16,0.1304,0.032,0.2289,0.2575,0.0909,0.0935,0.0945,0.1871,0.1623,0.3495,0.1081,0.2235,0.1736,0.063,0.2345,0.0992,0.2898,0.1643,0.1523,0.0625,0.1527,0.0538,0.0956,0.1223,0.0611,0.2208,0.2241,0.0942,0.0853,0.102,0.1128,0.2699,0.1572,0.0357,0.0488,0.1511,0.1667,0.1923,0.1799,0.0563,0.1988,0.1277,0.1923,0.2402,0.0448,0.0455,0.1479,0.1533,0.1871,0.1164,0.0851,0.0465,0.0469,0.1119,0.062,0.0376,0.0472,0.2378,0.3239,0.063,0.093,0.0165,0.1622,0.1642,0.1185,0.087,0.0902,0.0806,0.0538
百里香奶油烤紅酒牛肉,0.0111,0.0068,0.0,0.0122,0.011,0.0296,0.0125,0.0163,0.0,0.0132,0.0143,0.0146,0.0312,0.0789,0.0114,0.0506,0.04,0.0238,0.037,0.01,0.0074,0.0108,0.0167,0.0185,0.025,0.0192,0.0408,0.04,0.0385,0.0303,0.0244,0.0526,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0192,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0204,0.0,0.012,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0115,0.0152,0.0,0.0179,0.0143,0.0,0.0096,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,0.0,0.025,0.0,0.0114,0.0215,0.0,0.0,0.0,0.0147,0.0159,0.0074,0.0,0.0109,0.0189,0.0,0.0159,0.0,0.009,0.0,0.0351,0.0,0.0286,0.0,0.0303,0.025,0.0,0.0429,0.0103,0.0,0.0,0.0217,0.0312,0.0,0.0147,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.04,0.0,0.0179,0.0,0.0,0.0,0.0,0.0,0.0
香菇鹌鹑蛋,0.3058,0.2135,0.1524,0.1905,0.2315,0.1908,0.1746,0.2308,0.0132,0.0,0.1795,0.1839,0.1494,0.1134,0.248,0.1811,0.1071,0.1,0.0674,0.1831,0.2156,0.1838,0.1743,0.1091,0.102,0.1215,0.1569,0.0814,0.093,0.1477,0.1474,0.0875,0.1031,0.0849,0.0471,0.1522,0.2069,0.0706,0.1215,0.1792,0.0901,0.0909,0.1121,0.1011,0.113,0.1339,0.1228,0.17,0.1019,0.0935,0.211,0.2377,0.1783,0.1313,0.122,0.2211,0.1983,0.0682,0.161,0.1742,0.1261,0.0357,0.2157,0.1795,0.2593,0.1862,0.0762,0.2024,0.1667,0.092,0.1776,0.1319,0.0805,0.1455,0.1134,0.0125,0.2,0.2462,0.0909,0.1183,0.0964,0.1724,0.1593,0.2531,0.1154,0.1511,0.1415,0.0875,0.1491,0.0787,0.1933,0.1275,0.156,0.0602,0.1075,0.0471,0.0632,0.0909,0.046,0.129,0.1786,0.0957,0.0337,0.1287,0.1111,0.1778,0.1333,0.043,0.0385,0.1546,0.13,0.1597,0.1373,0.1209,0.1983,0.1327,0.1695,0.1678,0.0824,0.0714,0.1275,0.1111,0.2109,0.1386,0.1538,0.061,0.0617,0.1935,0.0595,0.0345,0.0759,0.1944,0.1859,0.1154,0.0941,0.0135,0.0973,0.08,0.1075,0.0851,0.0899,0.0886,0.023
