,dishes_name,emp_id
0,西瓜胡萝卜沙拉,1248
1,麻辣小龙虾,1248
2,农夫山泉NFC果汁100%橙汁,1248
3,番茄炖牛腩,1248
5,凉拌菠菜,1248
6,芝士烩波士顿龙虾,1538
7,麻辣小龙虾,1538
8,姜葱炒花蟹,1538
9,水煮鱼,1538
10,百里香奶油烤紅酒牛肉,1538
11,香菇鹌鹑蛋,1538
12,拌土豆丝,1538
13,焖猪手,1538
14,53度茅台,1538
15,路易拉菲红酒干红,1538
16,意文柠檬汁 ,1538
17,蛋挞,1538
18,黄油曲奇饼干,1538
20,香菇鸡肉粥,1538
21,麻辣小龙虾,988
22,香菇鹌鹑蛋,988
23,凉拌菠菜,988
24,哈尔滨啤酒罐装,988
26,芝士烩波士顿龙虾,1097
27,清蒸海鱼,1097
28,百里香奶油烤紅酒牛肉,1097
29,辣炒鱿鱼,1097
30,爆炒猪肝,1097
31,啤酒鸭,1097
32,干锅田鸡,1097
33,番茄蛋汤,1097
34,黄花菜炒木耳,1097
35,西瓜胡萝卜沙拉,1097
36,凉拌萝卜丝,1097
37,38度剑南春 ,1097
38,蓝带啤酒罐装,1097
39,老式面包,1097
40,一品香酥藕,1097
41,牛奶卷,1097
43,葡萄奶酥(超酥香的饼干),1097
44,水煮鱼,986
45,葱姜炒蟹,986
46,啤酒鸭,986
47,百威啤酒罐装,986
48,大理石奶油蛋糕,986
49,党参黄芪炖牛尾,988
50,三色凉拌手撕兔,988
51,白斩鸡,988
52,爆炒鸡翅,988
53,清炒菊花菜,988
54,培根花菜,988
55, 北冰洋汽水 ,988
56,老式面包,988
58,芝士烩波士顿龙虾,990
59,凉拌菠菜,990
60,核桃葡萄干土司,990
61,倒立蒸梭子蟹,990
62,番茄甘蓝,990
63,红酒炖羊肉,1539
64,辣炒鱿鱼,1539
65,姜葱炒花蟹,1539
66,凉拌菠菜,1539
67,桂圆枸杞鸽子汤,1539
68,黄花菜炒木耳,1539
69,黄尾袋鼠西拉子红葡萄酒,1539
70,蛋挞,1539
71,黑米恋上葡萄,1539
72,黄油曲奇饼干,1539
73,皮蛋瘦肉粥,1539
75,油焖麻辣虾,1463
76,蒜香辣花甲,1463
77,蒜蓉生蚝,1463
78,番茄有机花菜,1463
79,谷稻小庄 ,1463
81,冰糖红豆薏米粥,1463
82,油焖麻辣虾,1590
83,海带结豆腐汤,1590
84,凉拌菠菜,1590
85,爆炒双丝,1590
86,香烤牛排,1590
88,小米南瓜粥,1590
89,咖啡奶香面包,1590
90,麻辣小龙虾,1486
91,香菇鹌鹑蛋,1486
92,焖猪手,1486
93,葱油凉拌藕片,1486
94,百威啤酒罐装,1486
95,桂圆肉红豆八宝饭,1486
96,五色糯米饭(七色),1486
97,芝士烩波士顿龙虾,1017
98,姜葱炒花蟹,1017
99,剁椒鱼头,1017
100,辣炒田螺,1017
101,不加一滴油的酸奶蛋糕,1017
102,木须豌豆,1017
103,酸辣汤面,1017
104,蒜香辣花甲,1141
105,桂圆枸杞鸽子汤,1141
106,照烧鸡腿,1141
107,青炒扁豆,1141
108,党参黄芪炖牛尾,994
109,辣炒鱿鱼,994
110,照烧鸡腿,994
111,青炒扁豆,994
112,谷稻小庄 ,994
114,番茄蛋汤,992
115,凉拌菠菜,992
117,蛋挞,992
118,清蒸海鱼,992
119,重庆特色油烧兔,992
120,培根紫菜卷,1023
121,麻辣小龙虾,1023
122,红酒土豆烧鸭腿,1023
123,三丝鳝鱼,1023
124,爆炒鸡翅,1023
125,白胡椒胡萝卜羊肉汤,1023
126,孜然羊排,1023
127,青岛啤酒罐装,1023
128,哈尔滨啤酒罐装,1023
129,一品香酥藕,1023
130,葡萄奶酥(超酥香的饼干),1023
131,辣炒海带丝,994
132,爆炒鳝碌,994
133,白胡椒胡萝卜羊肉汤,994
134,爆炒鸡翅,994
135,小米南瓜粥,994
137,金玉良缘,994
138,酸辣藕丁,994
139,麻辣小龙虾,1001
140,香酥两吃大虾,1001
141,避风塘炒蟹,1001
142,水煮鱼,1001
143,蒜香辣花甲,1001
144,香烤牛排,1001
145,党参黄芪炖牛尾,1001
146,焖猪手,1001
147,酸辣藕丁,1001
148,凉拌蒜蓉西兰花,1001
149,凉拌菠菜,1001
150,南瓜枸杞小饼干,1001
151, 42度海之蓝,1001
152,意文柠檬汁 ,1001
153,香菇鸡肉粥,1001
154,清爽拌凉面,1001
155,超人气广式肠粉,1001
156,香酥两吃大虾,1480
157,蒙古烤羊腿,1480
158,爆炒鸡翅,1480
159,肉丁茄子,1480
160,番茄有机花菜,1480
161,酸辣汤面,1480
162,山药养生粥,1480
163,广式虾仁肠粉,1480
164,啤酒鸭,1480
165,意文柠檬汁 ,1480
166,麻辣小龙虾,994
167,番茄甘蓝,994
168,杭椒鸡珍,994
169,凉拌菠菜,994
171,桂圆枸杞鸽子汤,1084
172,红酒土豆烧鸭腿,1084
173,香烤牛排,1084
174,番茄有机花菜,1084
175,意文柠檬汁 ,1084
176,酸辣汤面,1084
177,蛋挞,1084
178,广式虾仁肠粉,1084
179,凉拌海带豆芽紫菜,1252
180,泡椒凤爪,1252
181,桂圆枸杞鸽子汤,1252
182,水煮鱼,1252
183,三色凉拌手撕兔,1252
184,辣炒田螺,1252
185,蒜香辣花甲,1252
186,香烤牛排,1252
187,焖猪手,1252
188,番茄有机花菜,1252
189,凉拌菠菜,1252
190,金玉良缘,1252
191,黄尾袋鼠西拉子红葡萄酒,1252
192,张裕葡萄酒张裕赤霞珠干红,1252
194,姜葱炒花蟹,1545
195,海带结豆腐汤,1545
196,三丝鳝鱼,1545
197,香烤牛排,1545
198,玉竹南北杏鸭腿汤,1545
199,啤酒鸭,1545
200,香菇鹌鹑蛋,1545
201,拌土豆丝,1545
202,糖醋蕃茄溜青花,1545
203,黄油曲奇饼干,1545
205,小米南瓜粥,1545
206,皮蛋瘦肉粥,1545
207,香酥两吃大虾,996
209,番茄甘蓝,996
210,油焖麻辣虾,1340
211,金玉良缘,1340
212,超人气广式肠粉,1340
213,一品香酥藕,1478
214,芹菜炒腰花,1478
215,香酥两吃大虾,1478
217,花蛤蒸蛋,1250
218,培根紫菜卷,1250
219,鲜美鳝鱼,1250
220,番茄炖牛腩,1250
221,糖醋蕃茄溜青花,1250
222,谷稻小庄 ,1250
224,葱姜炒蟹,1073
225,芝麻烤紫菜,1073
226,辣炒花蛤,1073
227,豌豆薯仔猪骨汤,1073
228,重庆特色油烧兔,1073
229,青炒扁豆,1073
230,酸辣藕丁,1073
231,38度剑南春 ,1073
232,南瓜枸杞小饼干,1073
234,啤酒鸭,1073
235,凉拌菠菜,1073
236,清蒸蝶鱼,1017
237,凉拌海带豆芽紫菜,1017
238,白斩鸡,1017
239,凉拌萝卜丝,1017
240,三色凉拌手撕兔,1017
241,意文柠檬汁 ,1017
243,糖醋蕃茄溜青花,1017
244,蒜蓉生蚝,1002
245,芝士烩波士顿龙虾,1002
246,黄花菜炒木耳,1002
247,小炒羊腰,1002
248,白胡椒胡萝卜羊肉汤,1002
250,西瓜胡萝卜沙拉,1002
251,香烤牛排,1002
252,剁椒鱼头,982
253,小炒羊腰,982
254,拌土豆丝,982
255,桂圆枸杞鸽子汤,982
256,番茄有机花菜,982
258,孜然羊排,1283
259,清炒菊花菜,1283
260,谷稻小庄 ,1283
261,冰糖红豆薏米粥,1283
262,广式虾仁肠粉,1283
263,香酥两吃大虾,996
264,爆炒双丝,996
265,番茄甘蓝,996
266,张裕葡萄酒张裕赤霞珠干红,996
267,蒙古烤羊腿,996
268,西瓜胡萝卜沙拉,996
269,党参黄芪炖牛尾,996
270, 北冰洋汽水 ,996
271,水煮鱼,1033
272,玉竹南北杏鸭腿汤,1033
273,孜然羊排,1033
274,红酒土豆烧鸭腿,1033
275,油焖麻辣虾,1033
276,木须豌豆,1033
277,白胡椒胡萝卜羊肉汤,1033
278,肉丁茄子,1033
279,番茄炖牛腩,1033
280,鸡蛋、肉末肠粉,1033
281,清爽拌凉面,1033
282,皮蛋瘦肉粥,1033
283,山药养生粥,1033
284,五色糯米饭(七色),1033
285,桂圆肉红豆八宝饭,1033
286,辣炒花蛤,1001
287,打卤面,1001
288,酸辣藕丁,1001
289,香菇鸡肉粥,1001
290,香酥两吃大虾,1087
291,爆炒双丝,1087
292,桂圆肉红豆八宝饭,1087
293,山药养生粥,1087
294,水煮鱼,991
295,培根花菜,991
296,凉拌菠菜,991
297,焖猪手,991
299,蓝带啤酒罐装,991
300,姜葱炒花蟹,1344
301,蒜蓉生蚝,1344
302,清爽拌凉面,1344
303,酸辣汤面,1344
304,水煮鱼,1034
305,黄花菜炒木耳,1034
306,葡萄奶酥(超酥香的饼干),1034
308,芝士烩波士顿龙虾,1018
309,香烤牛排,1018
310,香酥两吃大虾,1018
311,红酒炖羊肉,1018
312,凉拌萝卜丝,1018
313,番茄甘蓝,1018
314,番茄炖秋葵,1018
315,南瓜枸杞小饼干,1018
316,大蒜苋菜,1018
317,紫薯面包卷,1018
318,纸杯蛋糕,1018
319,哈尔滨啤酒罐装,1018
320,香酥两吃大虾,1282
321,糖醋蕃茄溜青花,1282
322,照烧鸡腿,1282
323,党参黄芪炖牛尾,1282
324,焖猪手,1282
325,香辣腐乳炒虾,1282
326,山药养生粥,1282
327,番茄有机花菜,1282
328,木须豌豆,1282
329,皮蛋瘦肉粥,1282
330,黑米恋上葡萄,1282
331,桂圆肉红豆八宝饭,1282
332,葱姜炒蟹,990
333,白胡椒胡萝卜羊肉汤,990
334,干锅田鸡,990
335,木须豌豆,990
336,露露无糖杏仁露,990
338,剁椒鱼头,990
339,独家薄荷鲜虾牛肉卷,990
340,爆炒猪肝,990
341,啤酒鸭,990
342,肉丁茄子,990
343,番茄有机花菜,990
344,桂圆肉红豆八宝饭,990
345,葡萄奶酥(超酥香的饼干),990
346,水煮鱼,990
347,美妙绝伦之白莲花,990
349,西瓜胡萝卜沙拉,1007
350,拌土豆丝,1007
351,金玉良缘,1007
352,香菇鹌鹑蛋,1007
353,香烤牛排,1007
354,番茄炖牛腩,1007
355,52度泸州老窖 ,1007
356,黄油曲奇饼干,1007
357,党参黄芪炖牛尾,1007
358,蛋挞,1007
359,一品香酥藕,1007
360,皮蛋瘦肉粥,1007
361,冰糖红豆薏米粥,1007
362,油焖麻辣虾,997
363,姜葱炒花蟹,997
364,麻辣小龙虾,997
365,青炒扁豆,997
366, 北冰洋汽水 ,997
367,葡萄奶酥(超酥香的饼干),997
368,百里香奶油烤紅酒牛肉,1318
369,芝士烩波士顿龙虾,1318
370,50度古井贡酒,1318
371,蛋挞,1318
372,黑米恋上葡萄,1318
373,蒜香辣花甲,1033
374,干锅田鸡,1033
375,清炒菊花菜,1033
376,农夫山泉NFC果汁100%橙汁,1033
377,清蒸蝶鱼,1231
378,泡椒凤爪,1231
379,糖醋蕃茄溜青花,1231
381,凉拌菠菜,1591
382,姜葱炒花蟹,1591
383,超人气广式肠粉,1591
384,香烤牛排,1031
385,百里香奶油烤紅酒牛肉,1031
386,蛋挞,1031
387,小米南瓜粥,1031
388,麻辣小龙虾,1522
389, 北冰洋汽水 ,1522
390,桂圆枸杞鸽子汤,1522
391,小米南瓜粥,1522
392,香酥两吃大虾,997
393,水煮鱼,997
394,蒜香辣花甲,997
395,五香酱驴肉,997
396,凉拌菠菜,997
397,哈尔滨啤酒罐装,997
398,美妙绝伦之白莲花,997
399,蒜香包,997
401,香酥两吃大虾,1521
402,清蒸蝶鱼,1521
403,重庆特色油烧兔,1521
404,鲜美鳝鱼,1521
405,剁椒鱼头,1521
406,玉竹南北杏鸭腿汤,1521
407,杭椒鸡珍,1521
408,黄花菜炒木耳,1521
409,美妙绝伦之白莲花,1521
410,黑米恋上葡萄,1521
411,西瓜胡萝卜沙拉,1521
412,52度泸州老窖 ,1521
413,五色糯米饭(七色),1521
414,姜葱炒花蟹,1519
415,麻辣小龙虾,1519
416,小炒羊腰,1519
417, 北冰洋汽水 ,1519
418,葱油凉拌藕片,1519
419,番茄蛋汤,1519
420,焖猪手,1087
421,泡椒凤爪,1087
422,炝炒大白菜,1087
424,蒜蓉生蚝,993
425,啤酒鸭,993
426,木须豌豆,993
428,番茄炖牛腩,1179
429,拌土豆丝,1179
430,白斩鸡,1179
431,焖猪手,1179
432,番茄有机花菜,1179
433,意文柠檬汁 ,1179
435,避风塘炒蟹,991
436,拌土豆丝,991
437,黄油曲奇饼干,991
438,小米南瓜粥,991
439,山药养生粥,991
440,蛋挞,982
441,西瓜胡萝卜沙拉,982
442,蒜香辣花甲,982
443,小米南瓜粥,982
444,拌土豆丝,989
445,盘蟹蒸蛋,989
446,香辣腐乳炒虾,989
447,不加一滴油的酸奶蛋糕,989
448,蒜香辣花甲,990
449,小炒羊腰,990
450,肉丁茄子,990
451,拌土豆丝,990
453,香辣腐乳炒虾,987
454,蓝带啤酒罐装,987
455,五色糯米饭(七色),987
456,桂圆肉红豆八宝饭,987
457,独家薄荷鲜虾牛肉卷,987
458,党参黄芪炖牛尾,987
459,辣炒鱿鱼,1098
460,白斩鸡,1098
461,番茄蛋汤,1098
462,爆炒猪肝,1098
463,拌土豆丝,1098
464,五彩藕苗,1098
